,City,Temperature,Pressure,Humidity,Wind,Precipitation,Clouds,Sunshine,Latitude,Longitude
235,puducherry,298.45,1017.67,82.29,4.33,0.03,41.2,90.23,11.9340568,79.8306447
236,rajgir,288.4,1016.77,71.5,2.15,0.07,26.95,169.46,25.0299973,85.4207368
237,araria,289.91,1019.37,66.01,2.57,0.21,20.1,226.46,26.1346459,87.4654062
238,bettiah,288.77,1016.58,66.46,2.24,0.08,21.0,208.0,26.8023,84.5074
239,begusarai,288.61,1017.47,67.79,2.32,0.08,19.12,207.54,25.4138614,86.1348858
240,katihar,289.91,1018.67,65.55,2.59,0.21,19.9,225.0,25.5433817,87.5690417
241,saharsa,289.22,1019.25,67.17,2.59,0.21,20.5,207.62,25.8758962,86.5926702
242,samastipur,289.32,1018.14,65.51,2.55,0.2,20.82,198.69,25.8596845,85.7839038
243,motihari,289.06,1018.39,66.8,2.31,0.07,20.79,203.54,26.6506888,84.9114654
244,muzaffarpur,288.37,1016.86,70.99,2.32,0.78,26.6,162.85,26.1182898,85.3857888
245,bhagalpur,289.12,1018.82,66.06,2.51,0.07,20.47,229.0,25.2494829,86.9828131
246,buxar,288.43,1017.93,70.48,2.28,0.03,19.14,202.31,25.5716195,83.9729568
247,darbhanga,289.32,1018.14,65.51,2.55,0.2,20.82,198.69,26.156999,85.8995065
248,sasaram,288.16,1012.12,65.92,1.9,0.08,21.66,206.0,24.9509656,84.0148733
249,bihar_sharif,288.4,1016.77,71.5,2.15,0.07,26.95,169.46,25.193859,85.5208617
250,purnia,289.91,1019.37,66.01,2.57,0.21,20.1,226.46,25.7773601,87.4731227
251,patna,287.98,1017.02,81.18,1.88,0.15,32.73,123.38,25.6093239,85.1235252
252,arrah,288.09,1016.37,71.95,2.19,0.2,25.93,165.38,25.560317,84.6632139
253,hajipur,287.96,1016.49,81.04,1.88,0.15,32.19,125.0,25.6905702,85.2090351
254,siwan,288.62,1018.12,68.57,2.44,0.07,20.74,207.23,26.2184558,84.3585062
255,chhapra,288.09,1016.37,71.95,2.19,0.2,25.93,165.38,25.7784105,84.7514507
256,kishanganj,290.3,1019.23,64.52,2.35,0.2,20.11,224.08,26.1014194,87.9507791
257,munger,288.73,1017.83,67.53,2.35,0.07,19.3,209.0,25.3773519,86.4731039
258,gaya,288.42,1013.79,71.25,2.13,0.07,28.07,163.69,24.7964355,85.0079563
259,dhanbad,290.48,1007.18,57.16,2.32,0.02,17.99,225.08,23.7952809,86.4309638
260,jorapokhar,290.48,1007.18,57.16,2.32,0.02,17.99,225.08,23.7167069,86.4110166
261,pathardih,290.48,1007.18,57.16,2.32,0.02,17.99,225.08,23.6753417,86.4282846
262,kohima,288.8,998.7,76.28,1.03,0.02,25.29,175.69,25.6618755,94.1019156
